,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,goal,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
70,0,36,6.398,0,1.55,2.3,0.59428293,0.40571707,1,7.946718428440665,6.0,1.0,3.0,-0.25
71,0,37,2.295,0,0.65,1.7,0.633170732,0.366829268,-1,7.946718428440665,7.0,2.0,3.0,-0.25
72,0,37,2.919,1,0.65,1.7,0.295884316,0.704115684,1,7.946718428440665,7.0,2.0,6.0,0.5
73,0,38,3.513,0,1.55,2.3,0.595478155,0.404521845,-1,7.946718428440665,6.0,1.0,3.0,-0.25
74,0,38,4.737,0,1.55,1.7,0.549408878,0.450591122,1,7.946718428440665,5.0,0.0,4.0,0.0
75,0,39,4.458,1,1.1,0.95,0.438095238,0.561904762,-1,7.946718428440665,5.0,0.0,5.0,0.25
76,0,39,3.459,0,1.7,1.1,0.511398644,0.488601356,1,7.946718428440665,4.0,-1.0,4.0,0.0
77,0,40,2.348,1,1.55,1.1,0.438570729,0.561429271,-1,7.946718428440665,4.0,-1.0,5.0,0.25
78,0,40,3.454,1,1.85,1.85,0.411978956,0.588021044,1,7.946718428440665,5.0,0.0,5.0,0.25
79,0,41,2.809,0,1.4,1.7,0.732638889,0.267361111,-1,7.946718428440665,6.0,1.0,2.0,-0.5
80,0,41,2.478,1,1.7,1.55,0.45308311,0.54691689,1,7.946718428440665,5.0,0.0,4.0,0.0
81,0,42,1.992,0,1.1,1.7,0.656666667,0.343333333,-1,7.946718428440665,6.0,1.0,3.0,-0.25
82,0,42,1.728,1,1.1,1.85,0.348913759,0.651086241,1,7.946718428440665,6.0,1.0,5.0,0.25
83,0,43,1.534,1,1.85,0.95,0.383963494,0.616036506,-1,7.946718428440665,3.0,-2.0,5.0,0.25
84,0,43,2.014,0,1.85,1.7,0.587075575,0.412924425,1,7.946718428440665,5.0,0.0,3.0,-0.25
85,0,44,3.023,0,0.95,2.3,0.58834113,0.41165887,-1,7.946718428440665,7.0,2.0,3.0,-0.25
86,0,44,0.519,1,0.95,1.1,1.0,0.0,1,7.946718428440665,5.0,0.0,0.0,-1.0
87,0,45,3.452,0,2.0,2.0,0.638957816,0.361042184,-1,7.946718428440665,5.0,0.0,3.0,-0.25
88,0,45,5.492,1,1.1,1.25,0.462857143,0.537142857,1,7.946718428440665,5.0,0.0,4.0,0.0
89,0,46,3.961,1,2.0,1.55,0.441342282,0.558657718,-1,7.946718428440665,4.0,-1.0,5.0,0.25
90,0,46,3.216,1,1.1,1.7,0.490013316,0.509986684,1,7.946718428440665,6.0,1.0,4.0,0.0
91,0,47,2.636,1,2.0,1.1,0.464782792,0.535217208,-1,7.946718428440665,3.0,-2.0,4.0,0.0
92,0,47,2.185,0,1.4,1.1,0.598774885,0.401225115,1,7.946718428440665,4.0,-1.0,3.0,-0.25
93,0,48,1.898,1,2.0,1.1,0.453097345,0.546902655,-1,7.946718428440665,3.0,-2.0,4.0,0.0
94,0,48,1.467,0,2.3,2.0,0.573905863,0.426094137,1,7.946718428440665,4.0,-1.0,3.0,-0.25
95,0,49,1.725,1,2.3,1.1,0.472800537,0.527199463,-1,7.946718428440665,3.0,-2.0,4.0,0.0
96,0,49,1.707,0,1.7,0.65,0.549703752,0.450296248,1,7.946718428440665,3.0,-2.0,4.0,0.0
97,0,50,4.336,1,2.3,2.0,0.514856308,0.485143692,-1,7.946718428440665,4.0,-1.0,4.0,0.0
98,0,50,1.472,1,1.1,1.55,0.385869565,0.614130435,1,7.946718428440665,6.0,1.0,5.0,0.25
99,0,51,2.037,0,0.95,1.1,0.650561798,0.349438202,-1,7.946718428440665,5.0,0.0,3.0,-0.25
100,0,51,2.425,0,2.0,1.1,0.530546624,0.469453376,1,7.946718428440665,3.0,-2.0,4.0,0.0
101,0,52,2.479,0,0.35,1.85,0.581519325,0.418480675,-1,7.946718428440665,8.0,3.0,3.0,-0.25
102,0,52,5.621,1,2.3,1.55,0.476261128,0.523738872,1,7.946718428440665,4.0,-1.0,4.0,0.0
103,0,53,3.389,1,2.3,1.55,0.455919395,0.544080605,-1,7.946718428440665,4.0,-1.0,4.0,0.0
104,0,53,3.216,1,0.95,1.55,0.594450017,0.405549983,1,7.946718428440665,6.0,1.0,3.0,-0.25
105,0,54,2.339,0,1.7,2.0,0.53355545,0.46644455,-1,7.946718428440665,6.0,1.0,4.0,0.0
106,0,54,3.167,1,0.95,2.3,0.434336525,0.565663475,1,7.946718428440665,7.0,2.0,5.0,0.25
107,0,55,3.609,0,1.85,1.85,0.699583581,0.300416419,-1,7.946718428440665,5.0,0.0,2.0,-0.5
108,0,55,1.939,0,1.1,0.35,0.603062426,0.396937574,1,7.946718428440665,4.0,-1.0,3.0,-0.25
109,0,56,7.371,1,2.3,1.55,0.57385399,0.42614601,-1,7.946718428440665,4.0,-1.0,3.0,-0.25
110,0,56,2.066,0,1.55,1.4,0.571274298,0.428725702,1,7.946718428440665,5.0,0.0,3.0,-0.25
111,0,57,2.52,0,1.55,2.0,0.684126984,0.315873016,-1,7.946718428440665,6.0,1.0,2.0,-0.5
112,0,57,1.561,1,1.25,2.0,0.441441441,0.558558559,1,7.946718428440665,6.0,1.0,5.0,0.25
113,0,58,1.761,1,2.0,1.4,0.424121935,0.575878065,-1,7.946718428440665,4.0,-1.0,5.0,0.25
114,0,58,2.037,0,1.85,1.55,0.617021277,0.382978723,1,7.946718428440665,4.0,-1.0,3.0,-0.25
115,0,59,2.593,1,1.85,1.7,0.252001686,0.747998314,-1,7.946718428440665,5.0,0.0,6.0,0.5
116,0,59,3.62,1,1.85,2.0,0.512835645,0.487164355,1,7.946718428440665,5.0,0.0,4.0,0.0
117,0,60,5.772,1,1.55,1.1,0.667270094,0.332729906,-1,7.946718428440665,4.0,-1.0,2.0,-0.5
118,0,60,1.235,1,0.35,1.85,0.499001996,0.500998004,1,7.946718428440665,8.0,3.0,4.0,0.0
119,0,61,1.945,0,1.1,1.85,0.566737288,0.433262712,-1,7.946718428440665,6.0,1.0,3.0,-0.25
120,0,61,3.726,1,1.4,1.7,0.646769052,0.353230948,1,7.946718428440665,6.0,1.0,3.0,-0.25
121,0,62,1.621,1,1.1,0.35,0.40027894,0.59972106,-1,7.946718428440665,4.0,-1.0,5.0,0.25
122,0,62,1.764,1,1.25,1.1,0.317232376,0.682767624,1,7.946718428440665,5.0,0.0,6.0,0.5
123,0,63,2.952,1,1.55,1.4,0.493610807,0.506389193,-1,7.946718428440665,5.0,0.0,4.0,0.0
124,0,63,4.016,0,2.0,1.4,0.479332669,0.520667331,1,7.946718428440665,4.0,-1.0,4.0,0.0
125,0,64,2.725,0,1.25,2.0,0.693306288,0.306693712,-1,7.946718428440665,6.0,1.0,2.0,-0.5
126,0,64,2.365,1,1.1,2.0,0.594475138,0.405524862,1,7.946718428440665,7.0,2.0,3.0,-0.25
127,0,65,2.591,0,1.1,1.55,0.662835249,0.337164751,-1,7.946718428440665,6.0,1.0,3.0,-0.25
128,0,65,1.583,1,1.55,1.55,0.453669385,0.546330615,1,7.946718428440665,5.0,0.0,4.0,0.0
129,0,66,3.523,1,1.4,1.1,0.425402613,0.574597387,-1,7.946718428440665,4.0,-1.0,5.0,0.25
130,0,66,5.406,0,1.55,1.25,0.691323471,0.308676529,1,7.946718428440665,4.0,-1.0,2.0,-0.5
131,0,67,7.082,0,1.25,1.1,0.53621068,0.46378932,-1,7.946718428440665,5.0,0.0,4.0,0.0
132,0,67,2.418,1,1.25,2.0,0.409405256,0.590594744,1,7.946718428440665,6.0,1.0,5.0,0.25
133,0,68,4.066,1,1.55,1.25,0.433883142,0.566116858,-1,7.946718428440665,4.0,-1.0,5.0,0.25
134,0,68,5.198,0,1.4,1.25,0.672184094,0.327815906,1,7.946718428440665,5.0,0.0,2.0,-0.5
135,0,69,2.602,0,1.25,2.0,0.731228669,0.268771331,-1,7.946718428440665,6.0,1.0,2.0,-0.5
136,0,69,4.101,1,1.1,1.85,0.516531165,0.483468835,1,7.946718428440665,6.0,1.0,4.0,0.0
137,0,70,3.239,1,1.4,1.25,0.451538462,0.548461538,-1,7.946718428440665,5.0,0.0,4.0,0.0
138,0,70,3.167,1,1.55,2.0,0.47427598,0.52572402,1,7.946718428440665,6.0,1.0,4.0,0.0
139,0,71,1.943,0,1.55,1.55,0.607587433,0.392412567,-1,7.946718428440665,5.0,0.0,3.0,-0.25
140,0,71,1.675,0,1.85,0.95,0.515820896,0.484179104,1,7.946718428440665,3.0,-2.0,4.0,0.0
141,0,72,3.627,0,1.85,2.0,0.647653001,0.352346999,-1,7.946718428440665,5.0,0.0,3.0,-0.25
142,0,72,1.655,1,1.7,2.0,0.411974341,0.588025659,1,7.946718428440665,6.0,1.0,5.0,0.25
143,0,73,6.245,0,1.7,1.55,0.567233901,0.432766099,-1,7.946718428440665,5.0,0.0,3.0,-0.25
144,0,73,1.87,0,1.55,1.1,0.649197861,0.350802139,1,7.946718428440665,4.0,-1.0,3.0,-0.25
145,0,74,4.574,1,1.85,1.55,0.639446367,0.360553633,-1,7.946718428440665,4.0,-1.0,3.0,-0.25
146,0,74,2.637,0,1.55,1.1,0.647326507,0.352673493,1,7.946718428440665,4.0,-1.0,3.0,-0.25
147,0,75,4.327,1,1.7,0.65,0.547434656,0.452565344,-1,7.946718428440665,3.0,-2.0,4.0,0.0
148,0,75,3.613,1,2.0,2.0,0.473844451,0.526155549,1,7.946718428440665,5.0,0.0,4.0,0.0
149,0,76,6.247,0,1.1,2.0,0.600448215,0.399551785,-1,7.946718428440665,7.0,2.0,3.0,-0.25
150,0,76,1.854,0,2.3,1.55,0.56234414,0.43765586,1,7.946718428440665,4.0,-1.0,3.0,-0.25
151,0,77,2.353,0,1.1,1.25,0.587256301,0.412743699,-1,7.946718428440665,5.0,0.0,3.0,-0.25
152,0,77,1.999,0,2.0,1.55,0.593296089,0.406703911,1,7.946718428440665,4.0,-1.0,3.0,-0.25
153,0,78,4.758,0,0.95,1.55,0.654303709,0.345696291,-1,7.946718428440665,6.0,1.0,3.0,-0.25
154,0,78,1.979,0,2.0,1.1,0.579585649,0.420414351,1,7.946718428440665,3.0,-2.0,3.0,-0.25
155,0,79,2.715,0,1.1,1.85,0.703584374,0.296415626,-1,7.946718428440665,6.0,1.0,2.0,-0.5
