,sbj,trial,rt,choice,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2,rt_max,choice_0,choice_1,choice_2,Right Value - Mean Other Value,gaze diff,Dwell Time Advantage (R - O)
73,0,73,1.521,0,3,2,1,0.2121504339440694,0.3461909353905497,0.4416586306653809,2.1436772137361824,1,0,0,-2.0,3.0,-0.25
74,0,74,1.347,0,3,1,2,0.4904051172707889,0.3400852878464819,0.1695095948827292,2.1436772137361824,1,0,0,0.0,1.0,-0.75
75,0,75,0.778,2,1,3,2,0.0,0.5239043824701195,0.4760956175298805,2.1436772137361824,0,0,1,0.0,4.0,0.0
76,0,76,1.239,0,3,1,2,0.4017521902377972,0.4242803504380475,0.1739674593241552,2.1436772137361824,1,0,0,0.0,1.0,-0.75
77,0,77,1.031,2,1,3,6,0.0,0.2564432989690721,0.7435567010309279,2.1436772137361824,0,0,1,4.0,6.0,0.5
78,0,78,1.521,2,2,1,3,0.1581581581581581,0.2802802802802803,0.5615615615615616,2.1436772137361824,0,0,1,2.0,5.0,0.25
79,0,79,1.114,1,1,7,3,0.0,0.7411545623836127,0.2588454376163873,2.1436772137361824,0,1,0,-2.0,2.0,-0.5
80,0,80,1.059,2,1,3,6,0.0,0.2842857142857143,0.7157142857142857,2.1436772137361824,0,0,1,4.0,6.0,0.5
81,0,81,1.501,0,3,1,2,0.456540825285338,0.2985074626865671,0.2449517120280948,2.1436772137361824,1,0,0,0.0,2.0,-0.5
82,0,82,1.555,2,2,1,3,0.1750219876868953,0.5620052770448549,0.2629727352682497,2.1436772137361824,0,0,1,2.0,2.0,-0.5
83,0,83,1.289,0,3,1,2,0.7861409796893668,0.0,0.2138590203106332,2.1436772137361824,1,0,0,0.0,1.0,-0.75
84,0,84,0.835,1,6,7,3,0.0,0.5376344086021505,0.4623655913978494,2.1436772137361824,0,1,0,-4.0,4.0,0.0
85,0,85,0.81,1,3,7,1,0.4760765550239234,0.0,0.5239234449760766,2.1436772137361824,0,1,0,-4.0,4.0,0.0
86,0,86,1.089,2,3,1,2,0.5495608531994981,0.1756587202007528,0.274780426599749,2.1436772137361824,0,0,1,0.0,2.0,-0.5
87,0,87,1.101,2,7,1,3,0.306803594351733,0.3324775353016688,0.3607188703465982,2.1436772137361824,0,0,1,-2.0,3.0,-0.25
88,0,88,0.788,2,1,3,7,0.0,0.2216014897579143,0.7783985102420856,2.1436772137361824,0,0,1,6.0,7.0,0.75
