,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time,goal,RT,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
66,0,34,1.635473,1,80,77,0.5222612,0.4777388,,1,1635.473,6.440692531296836,3.0,-5.0,4.0,0.0
67,0,35,2.3296439999999996,1,117,110,0.5417879176903854,0.4582120823096146,2329.644,-1,,6.440692531296836,3.0,-5.0,4.0,0.0
68,0,35,5.608432,0,117,110,0.520339061,0.479660939,,1,5608.432,6.440692531296836,3.0,-5.0,4.0,0.0
69,0,36,3.38175,1,80,64,0.627425296766271,0.372574703233729,3381.75,-1,,6.440692531296836,1.0,-15.0,3.0,-0.25
70,0,36,4.443018,0,80,64,0.567060657,0.432939343,,1,4443.018,6.440692531296836,1.0,-15.0,4.0,0.0
71,0,37,2.209993,0,80,78,0.6890484624686143,0.3109515375313857,2209.993,-1,,6.440692531296836,4.0,0.0,2.0,-0.5
72,0,37,2.620927,1,80,78,0.524592439,0.475407561,,1,2620.927,6.440692531296836,4.0,0.0,4.0,0.0
73,0,38,3.602313,1,124,110,0.4709567445464753,0.5290432554535247,3602.313,-1,,6.440692531296836,1.0,-15.0,5.0,0.25
74,0,38,1.725903,1,124,110,0.558839641,0.441160359,,1,1725.903,6.440692531296836,1.0,-15.0,4.0,0.0
75,0,39,2.5060990000000003,0,92,110,0.6475312718808137,0.3524687281191862,2506.099,-1,,6.440692531296836,8.0,20.0,3.0,-0.25
76,0,39,3.22523,1,92,110,0.578988054,0.421011946,,1,3225.23,6.440692531296836,8.0,20.0,4.0,0.0
77,0,40,1.6865299999999999,0,128,110,0.657603346,0.342396654,,1,1686.53,6.440692531296836,0.0,-20.0,3.0,-0.25
78,0,41,1.7438239999999994,0,50,58,0.6466484606492582,0.3533515393507418,1743.8239999999998,-1,,6.440692531296836,6.0,10.0,3.0,-0.25
79,0,41,2.010532,1,50,58,0.526752872,0.473247128,,1,2010.532,6.440692531296836,6.0,10.0,4.0,0.0
80,0,42,2.122334,0,54,50,0.6994311948700396,0.3005688051299605,2122.334,-1,,6.440692531296836,3.0,-5.0,2.0,-0.5
81,0,42,2.244929,0,54,50,0.702232672,0.297767328,,1,2244.929,6.440692531296836,3.0,-5.0,2.0,-0.5
82,0,43,2.518011,1,80,69,0.683489496009505,0.316510503990495,2518.011,-1,,6.440692531296836,2.0,-10.0,3.0,-0.25
83,0,43,2.09294,0,80,69,0.652496014,0.347503986,,1,2094.94,6.440692531296836,2.0,-10.0,3.0,-0.25
84,0,44,2.201475,0,105,110,0.5858134047124292,0.4141865952875709,2201.475,-1,,6.440692531296836,5.0,5.0,3.0,-0.25
85,0,44,1.361319,1,105,110,0.48274665,0.51725335,,1,1361.319,6.440692531296836,5.0,5.0,4.0,0.0
86,0,45,2.131478,0,55,50,0.6074769994844933,0.3925230005155067,2131.478,-1,,6.440692531296836,3.0,-5.0,3.0,-0.25
87,0,45,1.596589,1,55,50,0.455204649,0.544795351,,1,1596.589,6.440692531296836,3.0,-5.0,5.0,0.25
88,0,46,2.017429,0,96,80,0.6716050142889628,0.3283949857110372,2017.429,-1,,6.440692531296836,1.0,-15.0,3.0,-0.25
89,0,46,2.850121,0,96,80,0.698864535,0.301135465,,1,2850.121,6.440692531296836,1.0,-15.0,2.0,-0.5
90,0,47,3.241381,1,80,75,0.4281980277853655,0.5718019722146344,3241.3810000000003,-1,,6.440692531296836,3.0,-5.0,5.0,0.25
91,0,47,1.380897,1,80,75,0.487219698,0.512780302,,1,1380.897,6.440692531296836,3.0,-5.0,4.0,0.0
92,0,48,2.528386,0,110,128,0.7170700283649285,0.2829299716350715,2528.386,-1,,6.440692531296836,8.0,20.0,2.0,-0.5
93,0,48,1.391672,1,110,128,0.452632391,0.547367609,,1,1391.672,6.440692531296836,8.0,20.0,5.0,0.25
94,0,49,1.6798729999999993,1,59,50,0.4444809102555572,0.5555190897444429,1679.8729999999996,-1,,6.440692531296836,2.0,-10.0,5.0,0.25
95,0,49,2.1019029999999996,0,59,50,0.651122973,0.348877027,,1,2101.903,6.440692531296836,2.0,-10.0,3.0,-0.25
96,0,50,1.513221,0,110,119,0.638325807172358,0.361674192827642,1513.221,-1,,6.440692531296836,6.0,10.0,3.0,-0.25
97,0,50,1.5823399999999999,1,110,119,0.559501432,0.440498568,,1,1585.34,6.440692531296836,6.0,10.0,4.0,0.0
98,0,51,3.359407,1,52,50,0.4081886243496103,0.5918113756503898,3359.407,-1,,6.440692531296836,4.0,0.0,5.0,0.25
99,0,51,2.320312,0,52,50,0.720040627,0.279959373,,1,2320.312,6.440692531296836,4.0,0.0,2.0,-0.5
100,0,52,3.815203,0,58,50,0.563236638778085,0.4367633612219149,3815.203,-1,,6.440692531296836,2.0,-10.0,4.0,0.0
101,0,52,2.1847820000000002,0,58,50,0.581910155,0.418089845,,1,2184.782,6.440692531296836,2.0,-10.0,3.0,-0.25
102,0,53,4.7476329999999995,0,119,110,0.4451876682648011,0.5548123317351988,4749.633,-1,,6.440692531296836,2.0,-10.0,5.0,0.25
103,0,53,2.602684,0,119,110,0.615633567,0.384366433,,1,2602.684,6.440692531296836,2.0,-10.0,3.0,-0.25
104,0,54,3.013624000000001,0,74,80,0.4743405045911649,0.525659495408835,3013.6240000000003,-1,,6.440692531296836,5.0,5.0,5.0,0.25
105,0,54,2.8907420000000004,1,74,80,0.530453061,0.469546939,,1,2890.742,6.440692531296836,5.0,5.0,4.0,0.0
106,0,55,3.695847,0,86,80,0.5634619981792738,0.4365380018207263,3695.847,-1,,6.440692531296836,3.0,-5.0,4.0,0.0
107,0,55,1.954547,1,86,80,0.61004195,0.38995805,,1,1954.547,6.440692531296836,3.0,-5.0,3.0,-0.25
108,0,56,1.818684,0,66,80,0.665297155475087,0.3347028445249129,1818.684,-1,,6.440692531296836,7.0,15.0,3.0,-0.25
109,0,56,1.901984,1,66,80,0.418559144,0.581440856,,1,1901.984,6.440692531296836,7.0,15.0,5.0,0.25
110,0,57,3.040837,0,50,59,0.7664544018853983,0.2335455981146016,3040.837,-1,,6.440692531296836,6.0,10.0,2.0,-0.5
111,0,57,3.1335059999999997,1,50,59,0.590724335,0.409275665,,1,3133.506,6.440692531296836,6.0,10.0,3.0,-0.25
112,0,58,3.1568069999999997,0,94,110,0.7645606997868291,0.2354393002131709,3156.807,-1,,6.440692531296836,7.0,15.0,2.0,-0.5
113,0,58,2.545418,1,94,110,0.576064325,0.423935675,,1,2545.418,6.440692531296836,7.0,15.0,4.0,0.0
114,0,59,5.926643,1,110,87,0.6819639233398485,0.3180360766601515,5926.643,-1,,6.440692531296836,0.0,-20.0,3.0,-0.25
115,0,59,2.0234680000000003,0,110,87,0.682048791,0.317951209,,1,2025.468,6.440692531296836,0.0,-20.0,3.0,-0.25
116,0,60,4.156099,1,75,80,0.3914831153981196,0.6085168846018805,4161.099,-1,,6.440692531296836,5.0,5.0,5.0,0.25
117,0,60,3.330755,1,75,80,0.50365603,0.49634397,,1,3330.755,6.440692531296836,5.0,5.0,4.0,0.0
118,0,61,2.333893,1,50,45,0.5919949407372651,0.4080050592627348,2333.893,-1,,6.440692531296836,3.0,-5.0,3.0,-0.25
119,0,61,1.8665699999999998,0,50,45,0.617115785,0.382884215,,1,1866.57,6.440692531296836,3.0,-5.0,3.0,-0.25
120,0,62,2.362993,0,89,110,0.4428653864664321,0.5571346135335679,2362.993,-1,,6.440692531296836,8.0,20.0,5.0,0.25
121,0,62,1.604858,1,89,110,0.518080577,0.481919423,,1,1607.858,6.440692531296836,8.0,20.0,4.0,0.0
122,0,63,1.705088,0,80,94,0.5376870944781985,0.4623129055218015,1705.0880000000002,-1,,6.440692531296836,7.0,15.0,4.0,0.0
123,0,63,2.458127,1,80,94,0.595483544,0.404516456,,1,2458.127,6.440692531296836,7.0,15.0,3.0,-0.25
