,sbj,rt,ch,goal,value_diff,gaze_diff
68,0,3.399161281585453,0.0,1,-1.0,0.0
69,0,2.937161281585504,0.0,-1,0.0,-0.25
70,0,2.628161281585538,1.0,1,1.0,-0.25
71,0,3.9601612815853913,0.0,-1,2.0,-0.25
72,0,2.755161281585524,1.0,1,2.0,0.5
73,0,4.2381612815853735,0.0,-1,1.0,-0.25
74,0,2.15516128158559,0.0,1,0.0,0.0
75,0,4.331161281585405,1.0,-1,0.0,0.25
76,0,2.8411612815855145,0.0,1,-1.0,0.0
77,0,4.2261612815853695,1.0,-1,-1.0,0.25
78,0,1.5961612815856514,0.0,1,0.0,0.25
79,0,3.572161281585434,0.0,-1,1.0,-0.5
80,0,5.357161281585747,1.0,1,0.0,0.0
81,0,1.7751612815856317,0.0,-1,1.0,-0.25
82,0,1.3321612815856805,1.0,1,1.0,0.25
83,0,4.694161281585526,1.0,-1,-2.0,0.25
84,0,1.9841612815856087,0.0,1,0.0,-0.25
85,0,3.053161281585491,0.0,-1,2.0,-0.25
86,0,4.745161281585543,0.0,1,0.0,-1.0
87,0,4.160161281585369,0.0,-1,0.0,-0.25
88,0,4.763161281585549,1.0,1,0.0,0.0
89,0,1.6981612815856402,1.0,-1,-1.0,0.25
90,0,1.944161281585613,1.0,1,1.0,0.0
91,0,2.9961612815854974,1.0,-1,-2.0,0.0
92,0,4.07016128158538,0.0,1,-1.0,-0.25
93,0,2.7581612815855236,1.0,-1,-2.0,0.0
94,0,1.51816128158566,0.0,1,-1.0,-0.25
95,0,2.0821612815855977,1.0,-1,-2.0,0.0
96,0,2.60916128158554,0.0,1,-2.0,0.0
97,0,2.4971612815855524,1.0,-1,-1.0,0.0
98,0,3.1141612815854844,1.0,1,1.0,0.25
99,0,5.2621612815857155,0.0,-1,0.0,-0.25
100,0,2.645161281585536,0.0,1,-2.0,0.0
101,0,2.945161281585503,0.0,-1,3.0,-0.25
102,0,3.1841612815854767,0.0,1,-1.0,0.0
103,0,1.6051612815856504,1.0,-1,-1.0,0.0
104,0,2.584161281585543,1.0,1,1.0,-0.25
105,0,5.3191612815857345,1.0,-1,1.0,0.0
106,0,2.1481612815855904,1.0,1,2.0,0.25
107,0,3.3421612815854593,1.0,-1,0.0,-0.5
108,0,2.363161281585567,0.0,1,-1.0,-0.25
109,0,2.991161281585498,0.0,-1,-1.0,-0.25
110,0,1.764161281585633,0.0,1,0.0,-0.25
111,0,1.446161281585668,0.0,-1,1.0,-0.5
112,0,2.591161281585542,1.0,1,1.0,0.25
113,0,1.899161281585618,1.0,-1,-1.0,0.25
114,0,2.0791612815855984,0.0,1,-1.0,-0.25
115,0,1.2691612815856874,1.0,-1,0.0,0.5
116,0,3.465161281585446,0.0,1,0.0,0.0
117,0,2.3151612815855724,0.0,-1,-1.0,-0.5
118,0,2.7601612815855234,1.0,1,3.0,0.0
119,0,2.301161281585574,0.0,-1,1.0,-0.25
120,0,5.433161281585773,0.0,1,1.0,-0.25
121,0,1.5211612815856597,1.0,-1,-1.0,0.25
122,0,5.922161281585936,1.0,1,0.0,0.5
123,0,4.370161281585418,0.0,-1,0.0,0.0
124,0,7.232161281586373,1.0,1,-1.0,0.0
125,0,2.1171612815855942,0.0,-1,1.0,-0.5
126,0,2.1431612815855914,0.0,1,2.0,-0.25
127,0,4.283161281585389,0.0,-1,1.0,-0.25
128,0,4.261161281585381,0.0,1,0.0,0.0
129,0,4.499161281585461,1.0,-1,-1.0,0.25
130,0,1.4891612815856632,0.0,1,-1.0,-0.5
131,0,2.575161281585544,1.0,-1,0.0,0.0
132,0,1.9281612815856148,1.0,1,1.0,0.25
133,0,3.256161281585469,1.0,-1,-1.0,0.25
134,0,2.8941612815855087,0.0,1,0.0,-0.5
135,0,2.2971612815855744,0.0,-1,1.0,-0.5
136,0,4.334161281585406,1.0,1,1.0,0.0
137,0,4.109161281585375,1.0,-1,0.0,0.0
138,0,2.5141612815855505,1.0,1,1.0,0.0
139,0,4.965161281585616,0.0,-1,0.0,-0.25
140,0,3.172161281585478,1.0,1,-2.0,0.0
141,0,2.9491612815855026,1.0,-1,0.0,-0.25
142,0,2.001161281585607,1.0,1,1.0,0.25
143,0,3.3241612815854613,0.0,-1,0.0,-0.25
144,0,1.5691612815856544,0.0,1,-1.0,-0.25
145,0,3.627161281585428,0.0,-1,-1.0,-0.25
146,0,3.0501612815854915,0.0,1,-1.0,-0.25
147,0,1.9391612815856136,0.0,-1,-2.0,0.0
148,0,5.044161281585643,1.0,1,0.0,0.0
149,0,2.1101612815855946,0.0,-1,2.0,-0.25
150,0,1.4351612815856691,0.0,1,-1.0,-0.25
151,0,3.8931612815853986,0.0,-1,0.0,-0.25
152,0,2.401161281585563,0.0,1,-1.0,-0.25
153,0,2.8501612815855135,0.0,-1,1.0,-0.25
154,0,2.4061612815855624,0.0,1,-2.0,-0.25
155,0,2.193161281585586,0.0,-1,1.0,-0.5
156,0,1.9521612815856122,0.0,1,-2.0,0.0
157,0,2.9711612815855,0.0,-1,1.0,-0.5
158,0,5.403161281585763,1.0,1,-1.0,0.0
159,0,2.501161281585552,1.0,-1,0.0,0.25
160,0,5.2831612815857225,1.0,1,-1.0,0.0
161,0,3.827161281585406,0.0,-1,0.0,0.0
162,0,3.9511612815853923,1.0,1,1.0,0.25
163,0,3.1781612815854774,1.0,-1,0.0,0.25
164,0,4.179161281585367,1.0,1,0.0,0.0
165,0,2.263161281585578,0.0,-1,-1.0,0.0
166,0,2.1771612815855876,1.0,1,0.0,0.0
167,0,2.8321612815855155,1.0,-1,0.0,0.0
168,0,4.870161281585585,0.0,1,-1.0,-0.25
169,0,3.0301612815854937,1.0,-1,0.0,-0.25
170,0,1.7061612815856393,1.0,1,0.0,0.0
171,0,2.8851612815855097,1.0,-1,-2.0,0.0
