,sbj,rt,ch,goal,value_diff,gaze_diff
206,2,2.064602802276587,1.0,1,0.0,0.5
207,2,1.8676028022766091,0.0,1,-15.0,0.0
208,2,3.531602802276426,1.0,-1,5.0,0.0
209,2,3.0646028022764775,1.0,1,-5.0,0.0
210,2,2.607602802276528,0.0,1,-15.0,0.0
211,2,4.620602802276306,0.0,1,-10.0,0.5
212,2,2.1246028022765806,0.0,1,-20.0,-0.25
213,2,4.371602802276334,0.0,-1,5.0,-0.5
214,2,2.120602802276581,0.0,1,10.0,0.25
215,2,3.986602802276376,0.0,1,-20.0,-0.5
216,2,5.304602802276436,0.0,-1,0.0,-0.25
217,2,2.2296028022765695,1.0,-1,-5.0,-0.25
218,2,4.929602802276311,1.0,-1,-5.0,0.25
219,2,2.3656028022765545,1.0,-1,-5.0,-0.5
220,2,2.9266028022764927,1.0,1,-5.0,-0.25
221,2,1.5916028022766118,1.0,1,15.0,0.25
222,2,3.975602802276377,0.0,1,5.0,0.5
223,2,1.9926028022765954,0.0,-1,-10.0,0.25
224,2,2.31760280227656,0.0,-1,15.0,-0.25
225,2,3.2296028022764594,1.0,1,-5.0,0.25
226,2,4.083602802276365,1.0,1,0.0,0.0
227,2,15.497602802273928,1.0,-1,-10.0,-0.25
228,2,3.477602802276432,0.0,-1,-20.0,-0.25
229,2,1.4096028022766118,0.0,-1,10.0,-0.25
230,2,1.6276028022766118,0.0,1,20.0,0.0
231,2,2.959602802276489,1.0,-1,-5.0,-0.25
232,2,2.028602802276591,0.0,-1,-15.0,0.0
233,2,3.6296028022764153,0.0,-1,5.0,0.0
234,2,10.771602802276547,1.0,1,5.0,0.0
235,2,2.6866028022765187,1.0,1,10.0,0.5
236,2,2.064602802276587,0.0,-1,5.0,0.0
237,2,7.716602802277242,0.0,1,-15.0,0.25
238,2,2.9006028022764956,0.0,-1,0.0,-0.5
239,2,6.041602802276683,0.0,-1,5.0,0.0
240,2,2.905602802276495,0.0,1,-10.0,0.25
241,2,5.248602802276418,1.0,1,-5.0,-0.25
242,2,2.033602802276591,0.0,1,-5.0,0.5
243,2,2.1726028022765753,0.0,-1,10.0,-0.25
244,2,2.086602802276585,1.0,-1,0.0,0.25
245,2,2.6096028022765276,0.0,1,-20.0,-0.25
246,2,2.0276028022765917,0.0,1,-10.0,0.5
247,2,8.33960280227745,1.0,1,-10.0,0.25
248,2,4.279602802276344,0.0,1,-5.0,0.5
249,2,3.9926028022763753,1.0,1,0.0,0.0
250,2,3.3536028022764457,0.0,-1,-10.0,0.25
251,2,3.713602802276406,1.0,-1,-10.0,0.5
252,2,2.056602802276588,1.0,1,-5.0,0.0
253,2,4.013602802276373,0.0,-1,20.0,-0.25
254,2,1.726602802276612,0.0,1,0.0,-0.5
255,2,2.754602802276511,1.0,-1,0.0,0.5
256,2,2.304602802276561,1.0,1,10.0,0.25
257,2,2.6506028022765227,0.0,-1,15.0,-0.25
258,2,2.1446028022765784,0.0,-1,10.0,-0.5
259,2,2.0086028022765934,1.0,1,10.0,0.75
260,2,3.122602802276471,1.0,1,5.0,0.25
261,2,4.231602802276349,0.0,1,15.0,0.0
262,2,4.209602802276351,0.0,-1,-20.0,0.0
263,2,1.713602802276612,1.0,1,20.0,0.25
264,2,1.5326028022766118,0.0,1,10.0,0.0
265,2,7.414602802277141,1.0,1,-5.0,-0.5
266,2,3.713602802276406,0.0,-1,5.0,-0.25
267,2,3.4836028022764314,0.0,-1,0.0,0.0
268,2,3.3096028022764505,1.0,-1,-10.0,0.5
269,2,2.774602802276509,0.0,1,5.0,0.25
270,2,2.7656028022765105,1.0,1,5.0,0.25
271,2,2.061602802276588,0.0,1,-10.0,-0.25
272,2,3.6986028022764077,1.0,-1,-10.0,-0.25
273,2,2.6086028022765273,1.0,1,10.0,0.5
274,2,3.142602802276469,1.0,1,-10.0,0.0
275,2,5.620602802276542,1.0,-1,-15.0,0.25
276,2,2.576602802276531,0.0,1,-20.0,-0.25
277,2,5.992602802276666,0.0,1,-15.0,0.25
278,2,3.3576028022764453,1.0,-1,-10.0,0.0
279,2,2.556602802276533,0.0,-1,10.0,0.25
280,2,4.337602802276337,0.0,-1,0.0,-0.25
281,2,2.849602802276501,0.0,-1,15.0,-0.25
282,2,9.19660280227742,1.0,-1,5.0,-0.5
283,2,2.5016028022765395,0.0,1,-10.0,-0.25
284,2,3.688602802276409,0.0,1,-5.0,0.0
285,2,2.7406028022765128,0.0,-1,15.0,-0.5
286,3,4.927401498794319,1.0,1,-10.0,0.25
287,3,10.460401498794557,1.0,1,15.0,0.0
288,3,3.241401498794381,1.0,-1,0.0,0.0
289,3,3.758401498794324,0.0,1,-10.0,0.0
290,3,2.6954014987944412,1.0,1,-5.0,-0.25
291,3,2.3224014987944823,0.0,-1,5.0,0.25
292,3,1.779401498794542,0.0,1,-15.0,-0.25
293,3,7.460401498795165,1.0,1,20.0,0.25
294,3,2.183401498794497,0.0,1,0.0,0.0
295,3,4.578401498794234,0.0,-1,-5.0,0.25
296,3,8.634401498795558,0.0,-1,10.0,-0.25
297,3,2.1614014987944996,0.0,-1,0.0,0.0
298,3,1.8674014987945322,0.0,1,-15.0,-0.25
299,3,1.9554014987945225,1.0,1,10.0,0.25
300,3,2.0374014987945133,0.0,-1,10.0,0.0
301,3,1.4724014987945564,0.0,-1,15.0,-0.5
302,3,2.262401498794489,1.0,-1,-10.0,0.25
303,3,14.059401498792562,1.0,-1,-10.0,0.0
304,3,1.5474014987945564,1.0,1,10.0,0.0
305,3,3.6294014987943384,0.0,1,20.0,0.0
306,3,2.6004014987944517,0.0,-1,15.0,-0.25
307,3,1.9484014987945233,0.0,-1,-10.0,0.25
308,3,4.3234014987942615,0.0,1,-10.0,0.0
309,3,4.539401498794238,1.0,1,0.0,0.0
310,3,4.198401498794276,1.0,1,0.0,0.25
311,3,2.0304014987945145,1.0,-1,0.0,-0.25
312,3,1.5394014987945563,0.0,1,-20.0,0.0
313,3,10.839401498794347,0.0,-1,5.0,0.0
314,3,5.771401498794601,0.0,-1,-5.0,0.0
315,3,3.5464014987943475,1.0,1,10.0,0.25
316,3,7.147401498795061,1.0,1,-5.0,-0.5
