,sbj,rt,ch,goal,value_diff,gaze_diff
48,0,2.1046596307754193,1.0,1,5.0,0.0
49,0,4.617659630775142,1.0,-1,-5.0,0.25
50,0,6.180659630775582,1.0,1,-5.0,0.0
51,0,3.8836596307752234,0.0,-1,0.0,-0.25
52,0,3.2576596307752923,1.0,1,0.0,0.0
53,0,3.6256596307752518,1.0,-1,-20.0,0.0
54,0,2.2366596307754048,0.0,1,-20.0,-0.5
55,0,2.7546596307753477,1.0,-1,-20.0,0.0
56,0,2.0916596307754203,0.0,1,-20.0,0.0
57,0,3.82365963077523,0.0,-1,-15.0,-0.25
58,0,1.4626596307754522,1.0,1,-15.0,0.0
59,0,1.6876596307754523,1.0,-1,20.0,-0.25
60,0,2.842659630775338,1.0,1,20.0,-0.25
61,0,1.8636596307754456,0.0,-1,15.0,-0.5
62,0,2.1816596307754104,1.0,1,15.0,0.0
63,0,2.82265963077534,1.0,-1,0.0,0.25
64,0,3.113659630775308,1.0,1,0.0,0.5
65,0,2.3876596307753877,0.0,-1,-5.0,-0.25
66,0,2.1076596307754185,1.0,1,-5.0,0.0
67,0,2.8666596307753354,1.0,-1,-5.0,0.0
68,0,3.297659630775288,1.0,1,-5.0,0.0
69,0,2.0636596307754234,1.0,-1,-15.0,-0.25
70,0,2.2586596307754023,0.0,1,-15.0,0.0
71,0,3.904659630775221,1.0,-1,0.0,-0.5
72,0,2.2716596307754005,0.0,1,0.0,0.0
73,0,2.567659630775368,0.0,-1,-15.0,0.25
74,0,2.4796596307753775,0.0,1,-15.0,0.0
75,0,1.4996596307754522,0.0,-1,20.0,-0.25
76,0,2.9636596307753247,1.0,1,20.0,0.0
77,0,2.9186596307753296,0.0,1,-20.0,-0.25
78,0,2.6006596307753647,0.0,-1,10.0,-0.25
79,0,2.7816596307753443,1.0,1,10.0,0.0
80,0,2.019659630775428,0.0,-1,-5.0,-0.5
81,0,2.226659630775406,0.0,1,-5.0,-0.5
82,0,3.4026596307752763,1.0,-1,-10.0,-0.25
83,0,2.101659630775419,1.0,1,-10.0,-0.25
84,0,2.6646596307753576,0.0,-1,5.0,-0.25
85,0,1.9636596307754346,1.0,1,5.0,0.0
86,0,1.4396596307754521,1.0,-1,-5.0,-0.25
87,0,3.516659630775264,1.0,1,-5.0,0.25
88,0,4.164659630775192,1.0,-1,-15.0,-0.25
89,0,4.414659630775165,0.0,1,-15.0,-0.5
90,0,3.8916596307752225,1.0,-1,-5.0,0.25
91,0,1.8276596307754496,1.0,1,-5.0,0.0
92,0,3.515659630775264,0.0,-1,20.0,-0.5
93,0,5.247659630775271,1.0,1,20.0,0.25
94,0,2.616659630775363,1.0,-1,-10.0,0.25
