,sbj,rt,ch,value_diff,gaze_diff
138,4,1.878402270555452,1.0,0.0,0.25
139,4,3.1844022705553083,0.0,0.0,-0.75
140,4,1.5754022705554853,0.0,-5.0,0.5
141,4,0.9814022705554966,0.0,-4.0,-1.0
142,4,1.62440227055548,0.0,-3.0,0.75
143,4,3.1454022705553126,0.0,0.0,-0.25
144,4,1.4854022705554952,1.0,3.0,0.0
145,4,1.3404022705554968,0.0,0.0,-0.5
146,4,1.371402270555497,1.0,-1.0,0.5
147,4,1.6444022705554777,1.0,3.0,0.5
148,4,1.302402270555497,1.0,4.0,0.75
149,4,2.9194022705553375,0.0,0.0,-0.5
150,4,1.5744022705554854,0.0,0.0,0.5
151,4,0.7984022705554965,1.0,-1.0,0.5
152,4,1.8264022705554577,1.0,5.0,0.0
153,4,1.5844022705554843,1.0,4.0,1.0
154,4,1.5034022705554932,1.0,1.0,0.5
155,4,1.2294022705554968,0.0,-5.0,-0.5
156,4,1.4854022705554952,1.0,4.0,-0.25
157,4,2.5114022705553825,0.0,1.0,-0.25
158,4,1.9434022705554448,1.0,1.0,-0.5
159,4,0.8824022705554966,0.0,-5.0,0.0
160,4,1.1324022705554966,1.0,2.0,0.0
161,4,2.3274022705554023,0.0,-3.0,-0.25
162,4,0.9654022705554965,0.0,-5.0,-0.5
163,4,1.0454022705554966,1.0,-4.0,0.0
164,4,2.0304022705554354,0.0,0.0,0.0
165,4,4.485402270555172,1.0,2.0,-0.25
166,4,1.7494022705554662,1.0,4.0,0.0
167,4,1.294402270555497,1.0,1.0,0.25
168,4,1.9574022705554432,1.0,0.0,0.25
169,4,1.5914022705554836,1.0,5.0,0.5
170,4,0.9324022705554966,0.0,1.0,0.0
171,4,1.2244022705554967,1.0,5.0,0.25
172,4,0.7334022705554963,0.0,-4.0,-0.25
173,4,1.706402270555471,1.0,4.0,-0.25
174,4,0.8074022705554964,1.0,1.0,-0.5
175,5,1.0737631669044498,1.0,0.0,0.0
176,5,1.0547631669044497,1.0,0.0,-0.25
177,5,1.1767631669044498,1.0,2.0,0.25
178,5,1.0597631669044498,0.0,-4.0,0.0
179,5,1.0247631669044497,0.0,-3.0,-0.5
180,5,1.0247631669044497,1.0,5.0,0.25
181,5,1.4137631669044501,0.0,-1.0,0.25
182,5,1.0647631669044497,0.0,-3.0,-0.25
183,5,1.1117631669044499,1.0,2.0,-0.25
184,5,1.43876316690445,0.0,0.0,0.25
185,5,0.8857631669044497,0.0,0.0,0.25
186,5,1.0587631669044497,0.0,0.0,0.25
187,5,1.12976316690445,0.0,-3.0,-0.25
188,5,1.36676316690445,0.0,2.0,0.0
189,5,1.41576316690445,1.0,2.0,0.0
190,5,1.9127631669044212,1.0,3.0,0.5
191,5,1.6887631669044458,0.0,1.0,0.25
192,5,1.5497631669044503,1.0,1.0,0.25
193,5,1.30176316690445,1.0,2.0,0.0
194,5,1.24576316690445,1.0,3.0,0.0
195,5,0.9457631669044497,1.0,0.0,0.5
196,5,1.30076316690445,0.0,-2.0,0.0
197,5,1.0787631669044497,1.0,3.0,-0.25
198,5,1.2467631669044499,0.0,-3.0,-0.25
199,5,1.44376316690445,1.0,2.0,0.25
200,5,2.9127631669043113,0.0,0.0,-0.5
201,5,1.1207631669044498,0.0,2.0,0.0
202,5,0.9317631669044497,1.0,2.0,-0.5
203,5,1.0987631669044498,1.0,0.0,-0.25
204,5,1.1047631669044498,1.0,2.0,0.5
205,5,1.0457631669044498,1.0,1.0,0.0
206,5,0.9627631669044496,0.0,0.0,0.0
207,5,1.41276316690445,0.0,3.0,0.0
208,5,1.0837631669044498,0.0,2.0,-0.5
209,5,1.3077631669044498,0.0,-4.0,0.0
210,5,1.5327631669044501,0.0,-2.0,0.25
211,5,0.8677631669044497,0.0,-4.0,0.5
212,5,0.8897631669044497,1.0,3.0,0.25
213,5,2.1017631669044006,1.0,-2.0,0.0
214,6,2.5640273009537076,1.0,3.0,0.25
215,6,1.6700273009538058,0.0,-5.0,-0.25
216,6,1.5790273009538158,1.0,-3.0,0.25
217,6,1.4400273009538311,1.0,1.0,0.5
218,6,2.7990273009536817,0.0,-2.0,-0.5
219,6,2.404027300953725,1.0,2.0,-0.25
220,6,7.9080273009547986,0.0,-2.0,-0.5
221,6,1.0850273009538658,1.0,4.0,0.0
222,6,2.4270273009537227,1.0,-1.0,0.0
223,6,4.352027300953611,1.0,1.0,0.0
224,6,1.1160273009538657,0.0,1.0,-0.75
225,6,7.686027300954724,1.0,0.0,-0.25
226,6,1.3760273009538382,0.0,5.0,0.25
227,6,1.8180273009537895,0.0,0.0,-0.25
228,6,3.2630273009536306,0.0,-1.0,0.25
229,6,3.094027300953649,0.0,-4.0,-0.25
230,6,9.796027300953945,0.0,1.0,0.25
231,6,7.287027300954591,0.0,0.0,0.25
232,6,2.789027300953683,1.0,-1.0,-0.5
233,6,3.740027300953578,1.0,5.0,0.5
234,6,4.765027300953749,1.0,3.0,0.0
235,6,1.0950273009538658,1.0,4.0,0.75
236,6,2.2360273009537437,1.0,-1.0,0.0
237,6,5.1380273009538735,0.0,0.0,-0.5
238,6,4.0130273009535475,1.0,0.0,0.25
239,6,4.871027300953784,1.0,2.0,0.25
240,6,3.286027300953628,1.0,0.0,0.25
241,6,2.368027300953729,1.0,4.0,0.25
242,6,0.9610273009538657,0.0,-3.0,0.0
243,6,2.214027300953746,0.0,-4.0,0.5
244,6,1.8740273009537833,1.0,2.0,-0.25
245,6,3.0190273009536575,1.0,-2.0,0.5
246,6,2.0040273009537692,0.0,-4.0,-0.75
247,6,1.2350273009538537,0.0,-3.0,0.0
248,6,3.321027300953624,0.0,-5.0,-0.25
