,sbj,rt,ch,value_diff,gaze_diff
277,3,2.70944868326177,0.0,-2.0,0.0
278,3,2.225448683261823,1.0,2.0,-0.25
279,3,2.9904486832617394,1.0,2.0,1.0
280,3,2.181448683261828,1.0,2.0,0.5
281,3,1.9254486832618565,0.0,0.0,0.5
282,3,2.7394486832617666,0.0,-3.0,1.0
283,3,2.7904486832617614,1.0,-2.0,1.0
284,3,1.2574486832618716,0.0,-3.0,-0.25
285,3,1.2314486832618716,1.0,3.0,1.0
286,3,1.1824486832618717,0.0,1.0,0.0
287,3,1.460448683261872,1.0,-1.0,0.25
288,3,2.489448683261794,1.0,4.0,1.0
289,3,1.0584486832618716,1.0,2.0,1.0
290,3,1.687448683261872,0.0,-3.0,0.25
291,3,1.3834486832618718,0.0,-5.0,-0.25
292,3,2.6284486832617793,0.0,-3.0,0.75
293,3,1.681448683261872,1.0,-3.0,1.0
294,3,1.3444486832618718,1.0,4.0,1.0
295,3,4.925448683261589,1.0,0.0,0.75
296,3,1.3534486832618717,1.0,3.0,1.0
297,3,1.2544486832618718,0.0,-1.0,1.0
298,3,1.412448683261872,0.0,-2.0,-1.0
299,3,1.9364486832618553,1.0,1.0,1.0
300,3,1.774448683261872,1.0,-5.0,0.5
301,3,1.645448683261872,1.0,2.0,1.0
302,3,1.8354486832618664,1.0,4.0,1.0
303,3,2.409448683261803,1.0,0.0,1.0
304,3,2.001448683261848,1.0,2.0,1.0
305,3,2.0884486832618387,1.0,1.0,1.0
306,3,1.738448683261872,1.0,2.0,1.0
307,3,2.3574486832618087,0.0,-1.0,1.0
308,3,2.137448683261833,0.0,-3.0,1.0
309,3,1.565448683261872,1.0,0.0,1.0
310,3,1.6684486832618721,0.0,1.0,1.0
311,3,2.0694486832618404,0.0,-4.0,1.0
312,3,1.1364486832618717,1.0,2.0,1.0
313,3,1.0504486832618716,0.0,1.0,1.0
314,3,3.0424486832617337,0.0,0.0,1.0
315,3,3.303448683261705,1.0,3.0,1.0
316,3,1.3414486832618717,1.0,-1.0,1.0
317,3,1.2714486832618717,1.0,3.0,1.0
318,3,2.145448683261832,1.0,1.0,-0.75
319,3,1.711448683261872,0.0,4.0,1.0
320,3,2.3774486832618065,0.0,-1.0,1.0
321,3,1.4304486832618717,1.0,-3.0,1.0
322,3,2.3004486832618154,1.0,2.0,1.0
323,3,1.2104486832618717,1.0,-2.0,0.5
324,3,2.9964486832617387,0.0,-2.0,1.0
325,3,1.9064486832618586,1.0,0.0,-0.75
326,3,3.849448683261645,1.0,1.0,-0.5
327,3,1.536448683261872,1.0,-2.0,1.0
328,3,2.535448683261789,0.0,-1.0,1.0
329,3,1.6064486832618718,0.0,0.0,1.0
330,3,1.2814486832618717,0.0,-2.0,-1.0
331,3,1.992448683261849,0.0,-2.0,1.0
332,3,2.8914486832617503,1.0,5.0,1.0
333,3,4.536448683261569,1.0,4.0,1.0
334,3,1.3664486832618716,1.0,1.0,1.0
